rank	ai_name	cost	valid	r	path
1	shioshiota14	32290762	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FR008.nbt.gz
2	hasi13	32290762	1	20	/home/ubuntu/icfpc2018/out/hasi13/FR008.nbt.gz
3	hasi23	86754840	1	20	/home/ubuntu/icfpc2018/out/hasi23/FR008.nbt.gz
4	hasi21	124300524	1	20	/home/ubuntu/icfpc2018/out/hasi21/FR008.nbt.gz
5	shioshiota19	599426862	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FR008.nbt.gz
6	default	673310596	1	20	/home/ubuntu/icfpc2018/out/default/FR008.nbt.gz
7	shioshiota18	704069602	1	20	/home/ubuntu/icfpc2018/out/shioshiota18/FR008.nbt.gz
8	shioshiota16	704392140	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FR008.nbt.gz
