rank	ai_name	cost	valid	r	path
1	hasi666	2075929800	1	40	/home/ubuntu/icfpc2018/out/hasi666/FA055.nbt.gz
2	hasi23	2603535332	1	40	/home/ubuntu/icfpc2018/out/hasi23/FA055.nbt.gz
3	hasi21	3970253456	1	40	/home/ubuntu/icfpc2018/out/hasi21/FA055.nbt.gz
4	hasi22	4028239328	1	40	/home/ubuntu/icfpc2018/out/hasi22/FA055.nbt.gz
5	shioshiota19	7867368286	1	40	/home/ubuntu/icfpc2018/out/shioshiota19/FA055.nbt.gz
6	johniel9	10651169466	1	40	/home/ubuntu/icfpc2018/out/johniel9/FA055.nbt.gz
7	shioshiota16	10779816886	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FA055.nbt.gz
8	johniel8	10806697926	1	40	/home/ubuntu/icfpc2018/out/johniel8/FA055.nbt.gz
9	hasi10	17223029416	1	40	/home/ubuntu/icfpc2018/out/hasi10/FA055.nbt.gz
10	default	40919937352	1	40	/home/ubuntu/icfpc2018/out/default/FA055.nbt.gz
