rank	ai_name	cost	valid	r	path
1	shioshiota19	283613604726	1	90	/home/ubuntu/icfpc2018/out/shioshiota19/FA110.nbt.gz
2	hasi23	316149016532	1	90	/home/ubuntu/icfpc2018/out/hasi23/FA110.nbt.gz
3	hasi21	512411976736	1	90	/home/ubuntu/icfpc2018/out/hasi21/FA110.nbt.gz
4	johniel9	853377395226	1	90	/home/ubuntu/icfpc2018/out/johniel9/FA110.nbt.gz
5	shioshiota16	853486745494	1	90	/home/ubuntu/icfpc2018/out/shioshiota16/FA110.nbt.gz
6	johniel8	853486745494	1	90	/home/ubuntu/icfpc2018/out/johniel8/FA110.nbt.gz
7	hasi10	4901121234856	1	90	/home/ubuntu/icfpc2018/out/hasi10/FA110.nbt.gz
8	default	8521047197952	1	90	/home/ubuntu/icfpc2018/out/default/FA110.nbt.gz
