rank	ai_name	cost	valid	r	path
1	shioshiota14	325747067998	1	180	/home/ubuntu/icfpc2018/out/shioshiota14/FD178.nbt.gz
2	shioshiota12	325747067998	1	180	/home/ubuntu/icfpc2018/out/shioshiota12/FD178.nbt.gz
3	shioshiota16	331363285680	1	180	/home/ubuntu/icfpc2018/out/shioshiota16/FD178.nbt.gz
4	hasi15	354982951494	1	180	/home/ubuntu/icfpc2018/out/hasi15/FD178.nbt.gz
5	hasi12	355140442078	1	180	/home/ubuntu/icfpc2018/out/hasi12/FD178.nbt.gz
6	shioshiota13	355140442078	1	180	/home/ubuntu/icfpc2018/out/shioshiota13/FD178.nbt.gz
