rank	ai_name	cost	valid	r	path
1	shioshiota14	22145724	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FR011.nbt.gz
2	hasi23	53859714	1	20	/home/ubuntu/icfpc2018/out/hasi23/FR011.nbt.gz
3	hasi666	67212446	1	20	/home/ubuntu/icfpc2018/out/hasi666/FR011.nbt.gz
4	hasi21	78585818	1	20	/home/ubuntu/icfpc2018/out/hasi21/FR011.nbt.gz
5	hasi11	349803144	1	20	/home/ubuntu/icfpc2018/out/hasi11/FR011.nbt.gz
6	shioshiota19	436684080	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FR011.nbt.gz
7	shioshiota18	464721922	1	20	/home/ubuntu/icfpc2018/out/shioshiota18/FR011.nbt.gz
8	shioshiota16	464779344	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FR011.nbt.gz
9	hasi10	545857248	1	20	/home/ubuntu/icfpc2018/out/hasi10/FR011.nbt.gz
10	default	615699776	1	20	/home/ubuntu/icfpc2018/out/default/FR011.nbt.gz
