rank	ai_name	cost	valid	r	path
1	hasi666	457780308	1	30	/home/ubuntu/icfpc2018/out/hasi666/FA035.nbt.gz
2	hasi23	805722404	1	30	/home/ubuntu/icfpc2018/out/hasi23/FA035.nbt.gz
3	hasi21	1251403112	1	30	/home/ubuntu/icfpc2018/out/hasi21/FA035.nbt.gz
4	hasi22	1251403172	1	30	/home/ubuntu/icfpc2018/out/hasi22/FA035.nbt.gz
5	shioshiota19	4928457554	1	30	/home/ubuntu/icfpc2018/out/shioshiota19/FA035.nbt.gz
6	johniel9	4996900762	1	30	/home/ubuntu/icfpc2018/out/johniel9/FA035.nbt.gz
7	shioshiota16	5124899202	1	30	/home/ubuntu/icfpc2018/out/shioshiota16/FA035.nbt.gz
8	johniel8	5172693666	1	30	/home/ubuntu/icfpc2018/out/johniel8/FA035.nbt.gz
9	hasi10	11915662120	1	30	/home/ubuntu/icfpc2018/out/hasi10/FA035.nbt.gz
10	johniel4	13318223114	1	30	/home/ubuntu/icfpc2018/out/johniel4/FA035.nbt.gz
11	default	23739550012	1	30	/home/ubuntu/icfpc2018/out/default/FA035.nbt.gz
