rank	ai_name	cost	valid	r	path
1	hasi666	74069093748	1	60	/home/ubuntu/icfpc2018/out/hasi666/FA066.nbt.gz
2	hasi23	77104098688	1	60	/home/ubuntu/icfpc2018/out/hasi23/FA066.nbt.gz
3	shioshiota19	105779160370	1	60	/home/ubuntu/icfpc2018/out/shioshiota19/FA066.nbt.gz
4	hasi21	119415453336	1	60	/home/ubuntu/icfpc2018/out/hasi21/FA066.nbt.gz
5	hasi22	128830324408	1	60	/home/ubuntu/icfpc2018/out/hasi22/FA066.nbt.gz
6	johniel9	137593357458	1	60	/home/ubuntu/icfpc2018/out/johniel9/FA066.nbt.gz
7	shioshiota16	137625757722	1	60	/home/ubuntu/icfpc2018/out/shioshiota16/FA066.nbt.gz
8	johniel8	137625757722	1	60	/home/ubuntu/icfpc2018/out/johniel8/FA066.nbt.gz
9	hasi10	153947339148	1	60	/home/ubuntu/icfpc2018/out/hasi10/FA066.nbt.gz
10	default	503784239996	1	60	/home/ubuntu/icfpc2018/out/default/FA066.nbt.gz
