rank	ai_name	cost	valid	r	path
1	hasi23	5820411960	1	40	/home/ubuntu/icfpc2018/out/hasi23/FR044.nbt.gz
2	shioshiota14	8431157760	1	40	/home/ubuntu/icfpc2018/out/shioshiota14/FR044.nbt.gz
3	hasi21	9268073104	1	40	/home/ubuntu/icfpc2018/out/hasi21/FR044.nbt.gz
4	shioshiota19	19972400146	1	40	/home/ubuntu/icfpc2018/out/shioshiota19/FR044.nbt.gz
5	shioshiota18	21167722296	1	40	/home/ubuntu/icfpc2018/out/shioshiota18/FR044.nbt.gz
6	shioshiota16	21167750514	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FR044.nbt.gz
7	default	156328545484	1	40	/home/ubuntu/icfpc2018/out/default/FR044.nbt.gz
