rank	ai_name	cost	valid	r	path
1	hasi17	2155740962	1	120	/home/ubuntu/icfpc2018/out/hasi17/FD153.nbt.gz
2	shioshiota14	17448543982	1	120	/home/ubuntu/icfpc2018/out/shioshiota14/FD153.nbt.gz
3	hasi13	17448543982	1	120	/home/ubuntu/icfpc2018/out/hasi13/FD153.nbt.gz
4	shioshiota16	18697889264	1	120	/home/ubuntu/icfpc2018/out/shioshiota16/FD153.nbt.gz
5	hasi15	18905246844	1	120	/home/ubuntu/icfpc2018/out/hasi15/FD153.nbt.gz
6	hasi11	8610471324612	1	120	/home/ubuntu/icfpc2018/out/hasi11/FD153.nbt.gz
7	default	12712478669308	1	120	/home/ubuntu/icfpc2018/out/default/FD153.nbt.gz
