rank	ai_name	cost	valid	r	path
1	shioshiota19	9661707202	1	60	/home/ubuntu/icfpc2018/out/shioshiota19/FA076.nbt.gz
2	hasi666	13261539804	1	60	/home/ubuntu/icfpc2018/out/hasi666/FA076.nbt.gz
3	hasi23	41709494156	1	60	/home/ubuntu/icfpc2018/out/hasi23/FA076.nbt.gz
4	johniel9	49004368126	1	60	/home/ubuntu/icfpc2018/out/johniel9/FA076.nbt.gz
5	shioshiota16	50002313978	1	60	/home/ubuntu/icfpc2018/out/shioshiota16/FA076.nbt.gz
6	johniel8	50216156330	1	60	/home/ubuntu/icfpc2018/out/johniel8/FA076.nbt.gz
7	hasi21	66094301332	1	60	/home/ubuntu/icfpc2018/out/hasi21/FA076.nbt.gz
8	hasi22	66159754500	1	60	/home/ubuntu/icfpc2018/out/hasi22/FA076.nbt.gz
9	hasi10	638666281164	1	60	/home/ubuntu/icfpc2018/out/hasi10/FA076.nbt.gz
10	default	990589791004	1	60	/home/ubuntu/icfpc2018/out/default/FA076.nbt.gz
