rank	ai_name	cost	valid	r	path
1	johniel5	33511690	1	30	/home/ubuntu/icfpc2018/out/johniel5/FR012.nbt.gz
2	johniel8	76496978	1	30	/home/ubuntu/icfpc2018/out/johniel8/FR012.nbt.gz
3	shioshiota18	77754658	1	30	/home/ubuntu/icfpc2018/out/shioshiota18/FR012.nbt.gz
4	shioshiota16	77757190	1	30	/home/ubuntu/icfpc2018/out/shioshiota16/FR012.nbt.gz
5	shioshiota19	176421834	1	30	/home/ubuntu/icfpc2018/out/shioshiota19/FR012.nbt.gz
6	johniel4	333292730	1	30	/home/ubuntu/icfpc2018/out/johniel4/FR012.nbt.gz
7	hasi23	2305501252	1	30	/home/ubuntu/icfpc2018/out/hasi23/FR012.nbt.gz
8	shioshiota14	3523682412	1	30	/home/ubuntu/icfpc2018/out/shioshiota14/FR012.nbt.gz
9	hasi21	3691834124	1	30	/home/ubuntu/icfpc2018/out/hasi21/FR012.nbt.gz
10	default	45885519824	1	30	/home/ubuntu/icfpc2018/out/default/FR012.nbt.gz
