rank	ai_name	cost	valid	r	path
1	shioshiota19	17132552	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FA010.nbt.gz
2	hasi11	18670632	1	20	/home/ubuntu/icfpc2018/out/hasi11/FA010.nbt.gz
3	hasi21	20928388	1	20	/home/ubuntu/icfpc2018/out/hasi21/FA010.nbt.gz
4	johniel5	41344318	1	20	/home/ubuntu/icfpc2018/out/johniel5/FA010.nbt.gz
5	johniel9	170756592	1	20	/home/ubuntu/icfpc2018/out/johniel9/FA010.nbt.gz
6	shioshiota16	170996636	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FA010.nbt.gz
7	johniel8	170996636	1	20	/home/ubuntu/icfpc2018/out/johniel8/FA010.nbt.gz
8	hasi10	202391192	1	20	/home/ubuntu/icfpc2018/out/hasi10/FA010.nbt.gz
9	default	257595824	1	20	/home/ubuntu/icfpc2018/out/default/FA010.nbt.gz
10	johniel4	412048358	1	20	/home/ubuntu/icfpc2018/out/johniel4/FA010.nbt.gz
