rank	ai_name	cost	valid	r	path
1	hasi21	950598117564	1	100	/home/ubuntu/icfpc2018/out/hasi21/FA116.nbt.gz
2	shioshiota19	3661663808522	1	100	/home/ubuntu/icfpc2018/out/shioshiota19/FA116.nbt.gz
3	johniel9	3670459807782	1	100	/home/ubuntu/icfpc2018/out/johniel9/FA116.nbt.gz
4	johniel8	3719810025612	1	100	/home/ubuntu/icfpc2018/out/johniel8/FA116.nbt.gz
5	shioshiota16	3721760031720	1	100	/home/ubuntu/icfpc2018/out/shioshiota16/FA116.nbt.gz
6	hasi10	8959244188220	1	100	/home/ubuntu/icfpc2018/out/hasi10/FA116.nbt.gz
7	default	25678796308956	1	100	/home/ubuntu/icfpc2018/out/default/FA116.nbt.gz
