rank	ai_name	cost	valid	r	path
1	hasi666	1606566804	1	40	/home/ubuntu/icfpc2018/out/hasi666/FA053.nbt.gz
2	hasi23	3102515328	1	40	/home/ubuntu/icfpc2018/out/hasi23/FA053.nbt.gz
3	hasi21	5009455872	1	40	/home/ubuntu/icfpc2018/out/hasi21/FA053.nbt.gz
4	hasi22	5012336532	1	40	/home/ubuntu/icfpc2018/out/hasi22/FA053.nbt.gz
5	shioshiota19	12469824376	1	40	/home/ubuntu/icfpc2018/out/shioshiota19/FA053.nbt.gz
6	johniel9	15814446684	1	40	/home/ubuntu/icfpc2018/out/johniel9/FA053.nbt.gz
7	shioshiota16	15820206840	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FA053.nbt.gz
8	johniel8	15820206840	1	40	/home/ubuntu/icfpc2018/out/johniel8/FA053.nbt.gz
9	hasi10	46720404828	1	40	/home/ubuntu/icfpc2018/out/hasi10/FA053.nbt.gz
10	default	74775762168	1	40	/home/ubuntu/icfpc2018/out/default/FA053.nbt.gz
