rank	ai_name	cost	valid	r	path
1	shioshiota14	27822326	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FR004.nbt.gz
2	default	596264088	1	20	/home/ubuntu/icfpc2018/out/default/FR004.nbt.gz
3	shioshiota18	678381022	1	20	/home/ubuntu/icfpc2018/out/shioshiota18/FR004.nbt.gz
4	shioshiota16	678706744	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FR004.nbt.gz
