rank	ai_name	cost	valid	r	path
1	hasi666	8846649004	1	50	/home/ubuntu/icfpc2018/out/hasi666/FA059.nbt.gz
2	hasi23	8890557456	1	50	/home/ubuntu/icfpc2018/out/hasi23/FA059.nbt.gz
3	hasi21	14979835240	1	50	/home/ubuntu/icfpc2018/out/hasi21/FA059.nbt.gz
4	hasi22	15003838548	1	50	/home/ubuntu/icfpc2018/out/hasi22/FA059.nbt.gz
5	shioshiota19	99042080636	1	50	/home/ubuntu/icfpc2018/out/shioshiota19/FA059.nbt.gz
6	johniel9	110268827952	1	50	/home/ubuntu/icfpc2018/out/johniel9/FA059.nbt.gz
7	shioshiota16	110276328032	1	50	/home/ubuntu/icfpc2018/out/shioshiota16/FA059.nbt.gz
8	johniel8	110276328032	1	50	/home/ubuntu/icfpc2018/out/johniel8/FA059.nbt.gz
9	hasi10	138421804416	1	50	/home/ubuntu/icfpc2018/out/hasi10/FA059.nbt.gz
10	default	345299202456	1	50	/home/ubuntu/icfpc2018/out/default/FA059.nbt.gz
