rank	ai_name	cost	valid	r	path
1	hasi666	11681456732	1	40	/home/ubuntu/icfpc2018/out/hasi666/FA049.nbt.gz
2	shioshiota19	20761347782	1	40	/home/ubuntu/icfpc2018/out/shioshiota19/FA049.nbt.gz
3	hasi23	21598296692	1	40	/home/ubuntu/icfpc2018/out/hasi23/FA049.nbt.gz
4	johniel9	21630333454	1	40	/home/ubuntu/icfpc2018/out/johniel9/FA049.nbt.gz
5	shioshiota16	21634173558	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FA049.nbt.gz
6	johniel8	21634173558	1	40	/home/ubuntu/icfpc2018/out/johniel8/FA049.nbt.gz
7	hasi21	33048117732	1	40	/home/ubuntu/icfpc2018/out/hasi21/FA049.nbt.gz
8	hasi22	34158866340	1	40	/home/ubuntu/icfpc2018/out/hasi22/FA049.nbt.gz
9	hasi10	34543597636	1	40	/home/ubuntu/icfpc2018/out/hasi10/FA049.nbt.gz
10	default	92138489084	1	40	/home/ubuntu/icfpc2018/out/default/FA049.nbt.gz
