rank	ai_name	cost	valid	r	path
1	hasi23	51383550060	1	70	/home/ubuntu/icfpc2018/out/hasi23/FA083.nbt.gz
2	hasi666	74401436404	1	70	/home/ubuntu/icfpc2018/out/hasi666/FA083.nbt.gz
3	hasi21	76617840480	1	70	/home/ubuntu/icfpc2018/out/hasi21/FA083.nbt.gz
4	hasi22	87028286840	1	70	/home/ubuntu/icfpc2018/out/hasi22/FA083.nbt.gz
5	shioshiota19	118072817556	1	70	/home/ubuntu/icfpc2018/out/shioshiota19/FA083.nbt.gz
6	johniel9	124347658892	1	70	/home/ubuntu/icfpc2018/out/johniel9/FA083.nbt.gz
7	shioshiota16	124368239012	1	70	/home/ubuntu/icfpc2018/out/shioshiota16/FA083.nbt.gz
8	johniel8	124368239012	1	70	/home/ubuntu/icfpc2018/out/johniel8/FA083.nbt.gz
9	hasi10	191489191892	1	70	/home/ubuntu/icfpc2018/out/hasi10/FA083.nbt.gz
10	default	1058835122096	1	70	/home/ubuntu/icfpc2018/out/default/FA083.nbt.gz
