rank	ai_name	cost	valid	r	path
1	hasi666	85197101948	1	90	/home/ubuntu/icfpc2018/out/hasi666/FA111.nbt.gz
2	hasi23	210364312956	1	90	/home/ubuntu/icfpc2018/out/hasi23/FA111.nbt.gz
3	johniel7	309978540180	1	90	/home/ubuntu/icfpc2018/out/johniel7/FA111.nbt.gz
4	hasi21	337434387644	1	90	/home/ubuntu/icfpc2018/out/hasi21/FA111.nbt.gz
5	shioshiota19	545084947550	1	90	/home/ubuntu/icfpc2018/out/shioshiota19/FA111.nbt.gz
6	shioshiota16	607206677060	1	90	/home/ubuntu/icfpc2018/out/shioshiota16/FA111.nbt.gz
7	johniel9	607228546206	1	90	/home/ubuntu/icfpc2018/out/johniel9/FA111.nbt.gz
8	johniel8	607250417172	1	90	/home/ubuntu/icfpc2018/out/johniel8/FA111.nbt.gz
9	hasi10	3207112630176	1	90	/home/ubuntu/icfpc2018/out/hasi10/FA111.nbt.gz
10	default	8884810892908	1	90	/home/ubuntu/icfpc2018/out/default/FA111.nbt.gz
