rank	ai_name	cost	valid	r	path
1	shioshiota14	4560066378	1	100	/home/ubuntu/icfpc2018/out/shioshiota14/FD134.nbt.gz
2	hasi13	4560066378	1	100	/home/ubuntu/icfpc2018/out/hasi13/FD134.nbt.gz
3	shioshiota12	4560066378	1	100	/home/ubuntu/icfpc2018/out/shioshiota12/FD134.nbt.gz
4	shioshiota16	5223067540	1	100	/home/ubuntu/icfpc2018/out/shioshiota16/FD134.nbt.gz
5	hasi12	5520079178	1	100	/home/ubuntu/icfpc2018/out/hasi12/FD134.nbt.gz
6	shioshiota13	5520079178	1	100	/home/ubuntu/icfpc2018/out/shioshiota13/FD134.nbt.gz
7	default	7205381127316	1	100	/home/ubuntu/icfpc2018/out/default/FD134.nbt.gz
