rank	ai_name	cost	valid	r	path
1	hasi666	397561280	1	30	/home/ubuntu/icfpc2018/out/hasi666/FR024.nbt.gz
2	hasi23	485195040	1	30	/home/ubuntu/icfpc2018/out/hasi23/FR024.nbt.gz
3	shioshiota14	728117712	1	30	/home/ubuntu/icfpc2018/out/shioshiota14/FR024.nbt.gz
4	hasi21	732060348	1	30	/home/ubuntu/icfpc2018/out/hasi21/FR024.nbt.gz
5	shioshiota19	3625583962	1	30	/home/ubuntu/icfpc2018/out/shioshiota19/FR024.nbt.gz
6	shioshiota18	3825832850	1	30	/home/ubuntu/icfpc2018/out/shioshiota18/FR024.nbt.gz
7	shioshiota16	3825835382	1	30	/home/ubuntu/icfpc2018/out/shioshiota16/FR024.nbt.gz
8	default	31537423008	1	30	/home/ubuntu/icfpc2018/out/default/FR024.nbt.gz
