rank	ai_name	cost	valid	r	path
1	hasi20	4828193	1	40	/home/ubuntu/icfpc2018/out/hasi20/FD054.nbt.gz
2	hasi23	4828193	1	40	/home/ubuntu/icfpc2018/out/hasi23/FD054.nbt.gz
3	hasi21	4828193	1	40	/home/ubuntu/icfpc2018/out/hasi21/FD054.nbt.gz
4	shioshiota19	6364643	1	40	/home/ubuntu/icfpc2018/out/shioshiota19/FD054.nbt.gz
5	hasi17	9993525	1	40	/home/ubuntu/icfpc2018/out/hasi17/FD054.nbt.gz
6	shioshiota18	20764433	1	40	/home/ubuntu/icfpc2018/out/shioshiota18/FD054.nbt.gz
7	hasi19	20764433	1	40	/home/ubuntu/icfpc2018/out/hasi19/FD054.nbt.gz
8	hasi16	37066287	1	40	/home/ubuntu/icfpc2018/out/hasi16/FD054.nbt.gz
9	shioshiota14	52235217	1	40	/home/ubuntu/icfpc2018/out/shioshiota14/FD054.nbt.gz
10	hasi12	52235217	1	40	/home/ubuntu/icfpc2018/out/hasi12/FD054.nbt.gz
11	shioshiota13	52235217	1	40	/home/ubuntu/icfpc2018/out/shioshiota13/FD054.nbt.gz
12	hasi13	52235217	1	40	/home/ubuntu/icfpc2018/out/hasi13/FD054.nbt.gz
13	shioshiota12	52235217	1	40	/home/ubuntu/icfpc2018/out/shioshiota12/FD054.nbt.gz
14	hasi15	78922647	1	40	/home/ubuntu/icfpc2018/out/hasi15/FD054.nbt.gz
15	shioshiota16	79307979	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FD054.nbt.gz
16	hasi11	952328412	1	40	/home/ubuntu/icfpc2018/out/hasi11/FD054.nbt.gz
17	hasi10	966152412	1	40	/home/ubuntu/icfpc2018/out/hasi10/FD054.nbt.gz
18	default	1547918452	1	40	/home/ubuntu/icfpc2018/out/default/FD054.nbt.gz
