rank	ai_name	cost	valid	r	path
1	shioshiota19	52077419112	1	80	/home/ubuntu/icfpc2018/out/shioshiota19/FA091.nbt.gz
2	hasi21	133602254376	1	80	/home/ubuntu/icfpc2018/out/hasi21/FA091.nbt.gz
3	hasi22	134059998632	1	80	/home/ubuntu/icfpc2018/out/hasi22/FA091.nbt.gz
4	johniel9	514213696212	1	80	/home/ubuntu/icfpc2018/out/johniel9/FA091.nbt.gz
5	shioshiota16	514367296692	1	80	/home/ubuntu/icfpc2018/out/shioshiota16/FA091.nbt.gz
6	johniel8	514367296692	1	80	/home/ubuntu/icfpc2018/out/johniel8/FA091.nbt.gz
7	hasi10	1268034794892	1	80	/home/ubuntu/icfpc2018/out/hasi10/FA091.nbt.gz
8	default	1676012282628	1	80	/home/ubuntu/icfpc2018/out/default/FA091.nbt.gz
