rank	ai_name	cost	valid	r	path
1	hasi21	954159767086	1	100	/home/ubuntu/icfpc2018/out/hasi21/FR076.nbt.gz
2	shioshiota19	3665225458044	1	100	/home/ubuntu/icfpc2018/out/shioshiota19/FR076.nbt.gz
3	shioshiota18	3744189865559	1	100	/home/ubuntu/icfpc2018/out/shioshiota18/FR076.nbt.gz
4	shioshiota16	3744189895881	1	100	/home/ubuntu/icfpc2018/out/shioshiota16/FR076.nbt.gz
