rank	ai_name	cost	valid	r	path
1	hasi666	45654648328	1	80	/home/ubuntu/icfpc2018/out/hasi666/FA098.nbt.gz
2	hasi23	72161365624	1	80	/home/ubuntu/icfpc2018/out/hasi23/FA098.nbt.gz
3	hasi21	119203549752	1	80	/home/ubuntu/icfpc2018/out/hasi21/FA098.nbt.gz
4	hasi22	119521512012	1	80	/home/ubuntu/icfpc2018/out/hasi22/FA098.nbt.gz
5	shioshiota19	209493370576	1	80	/home/ubuntu/icfpc2018/out/shioshiota19/FA098.nbt.gz
6	johniel9	605667617208	1	80	/home/ubuntu/icfpc2018/out/johniel9/FA098.nbt.gz
7	shioshiota16	605775137504	1	80	/home/ubuntu/icfpc2018/out/shioshiota16/FA098.nbt.gz
8	johniel8	605775137504	1	80	/home/ubuntu/icfpc2018/out/johniel8/FA098.nbt.gz
9	hasi10	1112883159660	1	80	/home/ubuntu/icfpc2018/out/hasi10/FA098.nbt.gz
10	default	3257741213512	1	80	/home/ubuntu/icfpc2018/out/default/FA098.nbt.gz
