rank	ai_name	cost	valid	r	path
1	hasi21	5926756708	1	40	/home/ubuntu/icfpc2018/out/hasi21/FA042.nbt.gz
2	shioshiota19	18731617230	1	40	/home/ubuntu/icfpc2018/out/shioshiota19/FA042.nbt.gz
3	johniel9	22062415178	1	40	/home/ubuntu/icfpc2018/out/johniel9/FA042.nbt.gz
4	shioshiota16	22966789194	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FA042.nbt.gz
5	johniel8	23124235274	1	40	/home/ubuntu/icfpc2018/out/johniel8/FA042.nbt.gz
6	hasi10	56635425612	1	40	/home/ubuntu/icfpc2018/out/hasi10/FA042.nbt.gz
7	default	114259120196	1	40	/home/ubuntu/icfpc2018/out/default/FA042.nbt.gz
