rank	ai_name	cost	valid	r	path
1	hasi11	26795044	1	20	/home/ubuntu/icfpc2018/out/hasi11/FA017.nbt.gz
2	hasi23	74361020	1	20	/home/ubuntu/icfpc2018/out/hasi23/FA017.nbt.gz
3	hasi666	80729548	1	20	/home/ubuntu/icfpc2018/out/hasi666/FA017.nbt.gz
4	hasi21	105304772	1	20	/home/ubuntu/icfpc2018/out/hasi21/FA017.nbt.gz
5	hasi22	105305432	1	20	/home/ubuntu/icfpc2018/out/hasi22/FA017.nbt.gz
6	hasi10	316404716	1	20	/home/ubuntu/icfpc2018/out/hasi10/FA017.nbt.gz
7	shioshiota19	341294846	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FA017.nbt.gz
8	default	510821324	1	20	/home/ubuntu/icfpc2018/out/default/FA017.nbt.gz
9	johniel9	554414878	1	20	/home/ubuntu/icfpc2018/out/johniel9/FA017.nbt.gz
10	shioshiota16	603152968	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FA017.nbt.gz
11	johniel8	607954504	1	20	/home/ubuntu/icfpc2018/out/johniel8/FA017.nbt.gz
12	johniel4	1083329056	1	20	/home/ubuntu/icfpc2018/out/johniel4/FA017.nbt.gz
