rank	ai_name	cost	valid	r	path
1	shioshiota19	50809817460	1	80	/home/ubuntu/icfpc2018/out/shioshiota19/FA095.nbt.gz
2	johniel9	56082906076	1	80	/home/ubuntu/icfpc2018/out/johniel9/FA095.nbt.gz
3	shioshiota16	56221146524	1	80	/home/ubuntu/icfpc2018/out/shioshiota16/FA095.nbt.gz
4	johniel8	56221146524	1	80	/home/ubuntu/icfpc2018/out/johniel8/FA095.nbt.gz
5	hasi23	198056954528	1	80	/home/ubuntu/icfpc2018/out/hasi23/FA095.nbt.gz
6	hasi21	308798062376	1	80	/home/ubuntu/icfpc2018/out/hasi21/FA095.nbt.gz
7	hasi22	318232201540	1	80	/home/ubuntu/icfpc2018/out/hasi22/FA095.nbt.gz
8	hasi10	341932635884	1	80	/home/ubuntu/icfpc2018/out/hasi10/FA095.nbt.gz
9	default	708069477024	1	80	/home/ubuntu/icfpc2018/out/default/FA095.nbt.gz
