rank	ai_name	cost	valid	r	path
1	shioshiota18	2163063164	1	80	/home/ubuntu/icfpc2018/out/shioshiota18/FD100.nbt.gz
2	shioshiota14	2838306858	1	80	/home/ubuntu/icfpc2018/out/shioshiota14/FD100.nbt.gz
3	hasi13	2838306858	1	80	/home/ubuntu/icfpc2018/out/hasi13/FD100.nbt.gz
4	shioshiota12	2838306858	1	80	/home/ubuntu/icfpc2018/out/shioshiota12/FD100.nbt.gz
5	hasi12	2976549738	1	80	/home/ubuntu/icfpc2018/out/hasi12/FD100.nbt.gz
6	shioshiota13	2976549738	1	80	/home/ubuntu/icfpc2018/out/shioshiota13/FD100.nbt.gz
7	shioshiota16	3147043900	1	80	/home/ubuntu/icfpc2018/out/shioshiota16/FD100.nbt.gz
8	hasi15	3669292382	1	80	/home/ubuntu/icfpc2018/out/hasi15/FD100.nbt.gz
9	hasi11	751424304536	1	80	/home/ubuntu/icfpc2018/out/hasi11/FD100.nbt.gz
10	hasi10	751645488536	1	80	/home/ubuntu/icfpc2018/out/hasi10/FD100.nbt.gz
11	default	2351760357932	1	80	/home/ubuntu/icfpc2018/out/default/FD100.nbt.gz
