rank	ai_name	cost	valid	r	path
1	hasi12	5442439	1	30	/home/ubuntu/icfpc2018/out/hasi12/FD033.nbt.gz
2	shioshiota13	5442439	1	30	/home/ubuntu/icfpc2018/out/shioshiota13/FD033.nbt.gz
3	hasi13	5442439	1	30	/home/ubuntu/icfpc2018/out/hasi13/FD033.nbt.gz
4	shioshiota12	6252599	1	30	/home/ubuntu/icfpc2018/out/shioshiota12/FD033.nbt.gz
5	hasi11	7213113284	1	30	/home/ubuntu/icfpc2018/out/hasi11/FD033.nbt.gz
6	hasi10	7218216284	1	30	/home/ubuntu/icfpc2018/out/hasi10/FD033.nbt.gz
7	default	21242119620	1	30	/home/ubuntu/icfpc2018/out/default/FD033.nbt.gz
