rank	ai_name	cost	valid	r	path
1	hasi666	968691568	1	40	/home/ubuntu/icfpc2018/out/hasi666/FA056.nbt.gz
2	hasi23	1267618288	1	40	/home/ubuntu/icfpc2018/out/hasi23/FA056.nbt.gz
3	hasi21	2001523704	1	40	/home/ubuntu/icfpc2018/out/hasi21/FA056.nbt.gz
4	hasi22	2008245452	1	40	/home/ubuntu/icfpc2018/out/hasi22/FA056.nbt.gz
5	shioshiota19	10845731670	1	40	/home/ubuntu/icfpc2018/out/shioshiota19/FA056.nbt.gz
6	johniel9	11067862490	1	40	/home/ubuntu/icfpc2018/out/johniel9/FA056.nbt.gz
7	shioshiota16	11075542690	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FA056.nbt.gz
8	johniel8	11075542690	1	40	/home/ubuntu/icfpc2018/out/johniel8/FA056.nbt.gz
9	hasi10	18455687892	1	40	/home/ubuntu/icfpc2018/out/hasi10/FA056.nbt.gz
10	default	40610816940	1	40	/home/ubuntu/icfpc2018/out/default/FA056.nbt.gz
