rank	ai_name	cost	valid	r	path
1	hasi20	2309929887	1	80	/home/ubuntu/icfpc2018/out/hasi20/FD093.nbt.gz
2	hasi23	2309929887	1	80	/home/ubuntu/icfpc2018/out/hasi23/FD093.nbt.gz
3	hasi21	2309929887	1	80	/home/ubuntu/icfpc2018/out/hasi21/FD093.nbt.gz
4	shioshiota19	2322218337	1	80	/home/ubuntu/icfpc2018/out/shioshiota19/FD093.nbt.gz
5	shioshiota18	3459862620	1	80	/home/ubuntu/icfpc2018/out/shioshiota18/FD093.nbt.gz
6	hasi19	3487509084	1	80	/home/ubuntu/icfpc2018/out/hasi19/FD093.nbt.gz
7	shioshiota14	3498933910	1	80	/home/ubuntu/icfpc2018/out/shioshiota14/FD093.nbt.gz
8	hasi13	3498933910	1	80	/home/ubuntu/icfpc2018/out/hasi13/FD093.nbt.gz
9	shioshiota16	3807670952	1	80	/home/ubuntu/icfpc2018/out/shioshiota16/FD093.nbt.gz
10	hasi15	3838389336	1	80	/home/ubuntu/icfpc2018/out/hasi15/FD093.nbt.gz
11	hasi11	467429913988	1	80	/home/ubuntu/icfpc2018/out/hasi11/FD093.nbt.gz
12	hasi10	467623449988	1	80	/home/ubuntu/icfpc2018/out/hasi10/FD093.nbt.gz
13	default	2203167629704	1	80	/home/ubuntu/icfpc2018/out/default/FD093.nbt.gz
