rank	ai_name	cost	valid	r	path
1	shioshiota14	83694800	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FR003.nbt.gz
2	hasi21	98054954	1	20	/home/ubuntu/icfpc2018/out/hasi21/FR003.nbt.gz
3	shioshiota19	775282246	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FR003.nbt.gz
4	shioshiota18	802730874	1	20	/home/ubuntu/icfpc2018/out/shioshiota18/FR003.nbt.gz
5	shioshiota16	802836164	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FR003.nbt.gz
6	default	1973741100	1	20	/home/ubuntu/icfpc2018/out/default/FR003.nbt.gz
