rank	ai_name	cost	valid	r	path
1	hasi20	15000019786	1	160	/home/ubuntu/icfpc2018/out/hasi20/FD166.nbt.gz
2	hasi19	36229738410	1	160	/home/ubuntu/icfpc2018/out/hasi19/FD166.nbt.gz
3	shioshiota18	36254325341	1	160	/home/ubuntu/icfpc2018/out/shioshiota18/FD166.nbt.gz
4	shioshiota14	55712427737	1	160	/home/ubuntu/icfpc2018/out/shioshiota14/FD166.nbt.gz
5	hasi13	55712427737	1	160	/home/ubuntu/icfpc2018/out/hasi13/FD166.nbt.gz
6	shioshiota12	55712427737	1	160	/home/ubuntu/icfpc2018/out/shioshiota12/FD166.nbt.gz
7	hasi15	59386530396	1	160	/home/ubuntu/icfpc2018/out/hasi15/FD166.nbt.gz
8	shioshiota16	59411117299	1	160	/home/ubuntu/icfpc2018/out/shioshiota16/FD166.nbt.gz
9	hasi12	73407228377	1	160	/home/ubuntu/icfpc2018/out/hasi12/FD166.nbt.gz
10	shioshiota13	73407228377	1	160	/home/ubuntu/icfpc2018/out/shioshiota13/FD166.nbt.gz
11	hasi11	40990094622824	1	160	/home/ubuntu/icfpc2018/out/hasi11/FD166.nbt.gz
12	hasi10	40993412382824	1	160	/home/ubuntu/icfpc2018/out/hasi10/FD166.nbt.gz
13	default	61001105898980	1	160	/home/ubuntu/icfpc2018/out/default/FD166.nbt.gz
