rank	ai_name	cost	valid	r	path
1	shioshiota14	962781956	1	60	/home/ubuntu/icfpc2018/out/shioshiota14/FD064.nbt.gz
2	hasi12	962781956	1	60	/home/ubuntu/icfpc2018/out/hasi12/FD064.nbt.gz
3	shioshiota13	962781956	1	60	/home/ubuntu/icfpc2018/out/shioshiota13/FD064.nbt.gz
4	hasi13	962781956	1	60	/home/ubuntu/icfpc2018/out/hasi13/FD064.nbt.gz
5	shioshiota12	962781956	1	60	/home/ubuntu/icfpc2018/out/shioshiota12/FD064.nbt.gz
6	shioshiota16	1067110838	1	60	/home/ubuntu/icfpc2018/out/shioshiota16/FD064.nbt.gz
7	hasi11	174024079332	1	60	/home/ubuntu/icfpc2018/out/hasi11/FD064.nbt.gz
8	hasi10	174099895332	1	60	/home/ubuntu/icfpc2018/out/hasi10/FD064.nbt.gz
9	default	591860405964	1	60	/home/ubuntu/icfpc2018/out/default/FD064.nbt.gz
