rank	ai_name	cost	valid	r	path
1	hasi666	16499854528	1	60	/home/ubuntu/icfpc2018/out/hasi666/FA074.nbt.gz
2	hasi23	44429933068	1	60	/home/ubuntu/icfpc2018/out/hasi23/FA074.nbt.gz
3	hasi21	71161242024	1	60	/home/ubuntu/icfpc2018/out/hasi21/FA074.nbt.gz
4	shioshiota19	71239071008	1	60	/home/ubuntu/icfpc2018/out/shioshiota19/FA074.nbt.gz
5	hasi22	71253913140	1	60	/home/ubuntu/icfpc2018/out/hasi22/FA074.nbt.gz
6	johniel9	160053902704	1	60	/home/ubuntu/icfpc2018/out/johniel9/FA074.nbt.gz
7	shioshiota16	160079822920	1	60	/home/ubuntu/icfpc2018/out/shioshiota16/FA074.nbt.gz
8	johniel8	160079822920	1	60	/home/ubuntu/icfpc2018/out/johniel8/FA074.nbt.gz
9	hasi10	686242651916	1	60	/home/ubuntu/icfpc2018/out/hasi10/FA074.nbt.gz
10	default	899156717004	1	60	/home/ubuntu/icfpc2018/out/default/FA074.nbt.gz
