rank	ai_name	cost	valid	r	path
1	hasi20	387384	1	20	/home/ubuntu/icfpc2018/out/hasi20/FD009.nbt.gz
2	hasi17	498044	1	20	/home/ubuntu/icfpc2018/out/hasi17/FD009.nbt.gz
3	shioshiota18	1515624	1	20	/home/ubuntu/icfpc2018/out/shioshiota18/FD009.nbt.gz
4	hasi19	1515624	1	20	/home/ubuntu/icfpc2018/out/hasi19/FD009.nbt.gz
5	shioshiota14	1626284	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FD009.nbt.gz
6	hasi12	1626284	1	20	/home/ubuntu/icfpc2018/out/hasi12/FD009.nbt.gz
7	shioshiota13	1626284	1	20	/home/ubuntu/icfpc2018/out/shioshiota13/FD009.nbt.gz
8	hasi13	1626284	1	20	/home/ubuntu/icfpc2018/out/hasi13/FD009.nbt.gz
9	shioshiota12	1866444	1	20	/home/ubuntu/icfpc2018/out/shioshiota12/FD009.nbt.gz
10	hasi16	3402686	1	20	/home/ubuntu/icfpc2018/out/hasi16/FD009.nbt.gz
11	shioshiota16	4530926	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FD009.nbt.gz
12	hasi15	4530926	1	20	/home/ubuntu/icfpc2018/out/hasi15/FD009.nbt.gz
13	hasi11	214982668	1	20	/home/ubuntu/icfpc2018/out/hasi11/FD009.nbt.gz
14	hasi10	216062668	1	20	/home/ubuntu/icfpc2018/out/hasi10/FD009.nbt.gz
15	default	288308524	1	20	/home/ubuntu/icfpc2018/out/default/FD009.nbt.gz
