rank	ai_name	cost	valid	r	path
1	shioshiota14	1626374	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FD010.nbt.gz
2	hasi12	1626374	1	20	/home/ubuntu/icfpc2018/out/hasi12/FD010.nbt.gz
3	shioshiota13	1626374	1	20	/home/ubuntu/icfpc2018/out/shioshiota13/FD010.nbt.gz
4	hasi13	1626374	1	20	/home/ubuntu/icfpc2018/out/hasi13/FD010.nbt.gz
5	shioshiota12	1866534	1	20	/home/ubuntu/icfpc2018/out/shioshiota12/FD010.nbt.gz
6	hasi16	3402776	1	20	/home/ubuntu/icfpc2018/out/hasi16/FD010.nbt.gz
7	shioshiota16	4531016	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FD010.nbt.gz
8	hasi15	4531016	1	20	/home/ubuntu/icfpc2018/out/hasi15/FD010.nbt.gz
9	hasi11	210158636	1	20	/home/ubuntu/icfpc2018/out/hasi11/FD010.nbt.gz
10	hasi10	211022636	1	20	/home/ubuntu/icfpc2018/out/hasi10/FD010.nbt.gz
11	default	257585792	1	20	/home/ubuntu/icfpc2018/out/default/FD010.nbt.gz
