rank	ai_name	cost	valid	r	path
1	hasi666	33506368	1	20	/home/ubuntu/icfpc2018/out/hasi666/FA008.nbt.gz
2	hasi23	59916464	1	20	/home/ubuntu/icfpc2018/out/hasi23/FA008.nbt.gz
3	hasi11	84511052	1	20	/home/ubuntu/icfpc2018/out/hasi11/FA008.nbt.gz
4	hasi21	94911384	1	20	/home/ubuntu/icfpc2018/out/hasi21/FA008.nbt.gz
5	hasi22	95079672	1	20	/home/ubuntu/icfpc2018/out/hasi22/FA008.nbt.gz
6	shioshiota19	350387012	1	20	/home/ubuntu/icfpc2018/out/shioshiota19/FA008.nbt.gz
7	johniel9	476168932	1	20	/home/ubuntu/icfpc2018/out/johniel9/FA008.nbt.gz
8	shioshiota16	476649012	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FA008.nbt.gz
9	johniel8	476649012	1	20	/home/ubuntu/icfpc2018/out/johniel8/FA008.nbt.gz
10	hasi10	895589844	1	20	/home/ubuntu/icfpc2018/out/hasi10/FA008.nbt.gz
11	default	1185055212	1	20	/home/ubuntu/icfpc2018/out/default/FA008.nbt.gz
12	johniel4	1193564052	1	20	/home/ubuntu/icfpc2018/out/johniel4/FA008.nbt.gz
