rank	ai_name	cost	valid	r	path
1	hasi666	23147159232	1	60	/home/ubuntu/icfpc2018/out/hasi666/FA065.nbt.gz
2	hasi23	64316837772	1	60	/home/ubuntu/icfpc2018/out/hasi23/FA065.nbt.gz
3	hasi21	103284628416	1	60	/home/ubuntu/icfpc2018/out/hasi21/FA065.nbt.gz
4	hasi22	103349433168	1	60	/home/ubuntu/icfpc2018/out/hasi22/FA065.nbt.gz
5	shioshiota19	116098056834	1	60	/home/ubuntu/icfpc2018/out/shioshiota19/FA065.nbt.gz
6	johniel9	257534363598	1	60	/home/ubuntu/icfpc2018/out/johniel9/FA065.nbt.gz
7	shioshiota16	284225961380	1	60	/home/ubuntu/icfpc2018/out/shioshiota16/FA065.nbt.gz
8	johniel8	285048928820	1	60	/home/ubuntu/icfpc2018/out/johniel8/FA065.nbt.gz
9	hasi10	993097851436	1	60	/home/ubuntu/icfpc2018/out/hasi10/FA065.nbt.gz
10	default	1158953995168	1	60	/home/ubuntu/icfpc2018/out/default/FA065.nbt.gz
