rank	ai_name	cost	valid	r	path
1	hasi21	11487807115800	1	160	/home/ubuntu/icfpc2018/out/hasi21/FA167.nbt.gz
2	shioshiota19	16116949568406	1	160	/home/ubuntu/icfpc2018/out/shioshiota19/FA167.nbt.gz
3	johniel9	16660853164218	1	160	/home/ubuntu/icfpc2018/out/johniel9/FA167.nbt.gz
4	shioshiota16	16663065005114	1	160	/home/ubuntu/icfpc2018/out/shioshiota16/FA167.nbt.gz
5	johniel8	16663065005114	1	160	/home/ubuntu/icfpc2018/out/johniel8/FA167.nbt.gz
6	hasi10	109752532584556	1	160	/home/ubuntu/icfpc2018/out/hasi10/FA167.nbt.gz
7	default	137102307663380	1	160	/home/ubuntu/icfpc2018/out/default/FA167.nbt.gz
