rank	ai_name	cost	valid	r	path
1	hasi23	3015038520	1	40	/home/ubuntu/icfpc2018/out/hasi23/FA047.nbt.gz
2	shioshiota19	3037449226	1	40	/home/ubuntu/icfpc2018/out/shioshiota19/FA047.nbt.gz
3	hasi666	3664984632	1	40	/home/ubuntu/icfpc2018/out/hasi666/FA047.nbt.gz
4	johniel9	3731133482	1	40	/home/ubuntu/icfpc2018/out/johniel9/FA047.nbt.gz
5	shioshiota16	3869380224	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FA047.nbt.gz
6	johniel8	3886660896	1	40	/home/ubuntu/icfpc2018/out/johniel8/FA047.nbt.gz
7	hasi22	4450830484	1	40	/home/ubuntu/icfpc2018/out/hasi22/FA047.nbt.gz
8	hasi21	4471948660	1	40	/home/ubuntu/icfpc2018/out/hasi21/FA047.nbt.gz
9	hasi10	4817733168	1	40	/home/ubuntu/icfpc2018/out/hasi10/FA047.nbt.gz
10	default	18693730480	1	40	/home/ubuntu/icfpc2018/out/default/FA047.nbt.gz
