rank	ai_name	cost	valid	r	path
1	johniel5	39985544	1	30	/home/ubuntu/icfpc2018/out/johniel5/FA031.nbt.gz
2	johniel7	39985544	1	30	/home/ubuntu/icfpc2018/out/johniel7/FA031.nbt.gz
3	johniel9	147686208	1	30	/home/ubuntu/icfpc2018/out/johniel9/FA031.nbt.gz
4	shioshiota16	162268456	1	30	/home/ubuntu/icfpc2018/out/shioshiota16/FA031.nbt.gz
5	shioshiota19	165104988	1	30	/home/ubuntu/icfpc2018/out/shioshiota19/FA031.nbt.gz
6	johniel8	174419608	1	30	/home/ubuntu/icfpc2018/out/johniel8/FA031.nbt.gz
7	johniel4	398815584	1	30	/home/ubuntu/icfpc2018/out/johniel4/FA031.nbt.gz
8	hasi21	1279200060	1	30	/home/ubuntu/icfpc2018/out/hasi21/FA031.nbt.gz
9	hasi10	11944011312	1	30	/home/ubuntu/icfpc2018/out/hasi10/FA031.nbt.gz
10	default	23136893784	1	30	/home/ubuntu/icfpc2018/out/default/FA031.nbt.gz
