rank	ai_name	cost	valid	r	path
1	hasi666	1577632327019	1	120	/home/ubuntu/icfpc2018/out/hasi666/FR097.nbt.gz
2	hasi23	4703158512115	1	120	/home/ubuntu/icfpc2018/out/hasi23/FR097.nbt.gz
3	shioshiota19	5291089572615	1	120	/home/ubuntu/icfpc2018/out/shioshiota19/FR097.nbt.gz
4	shioshiota18	5312144653826	1	120	/home/ubuntu/icfpc2018/out/shioshiota18/FR097.nbt.gz
5	shioshiota16	5313966481234	1	120	/home/ubuntu/icfpc2018/out/shioshiota16/FR097.nbt.gz
6	hasi21	7524734852915	1	120	/home/ubuntu/icfpc2018/out/hasi21/FR097.nbt.gz
