rank	ai_name	cost	valid	r	path
1	shioshiota18	19203895882	1	120	/home/ubuntu/icfpc2018/out/shioshiota18/FD146.nbt.gz
2	shioshiota14	21025723290	1	120	/home/ubuntu/icfpc2018/out/shioshiota14/FD146.nbt.gz
3	hasi13	21025723290	1	120	/home/ubuntu/icfpc2018/out/hasi13/FD146.nbt.gz
4	shioshiota12	21025723290	1	120	/home/ubuntu/icfpc2018/out/shioshiota12/FD146.nbt.gz
5	shioshiota16	22275068572	1	120	/home/ubuntu/icfpc2018/out/shioshiota16/FD146.nbt.gz
6	hasi12	23099339290	1	120	/home/ubuntu/icfpc2018/out/hasi12/FD146.nbt.gz
7	shioshiota13	23099339290	1	120	/home/ubuntu/icfpc2018/out/shioshiota13/FD146.nbt.gz
8	hasi15	25385488355	1	120	/home/ubuntu/icfpc2018/out/hasi15/FD146.nbt.gz
9	hasi11	7150734150408	1	120	/home/ubuntu/icfpc2018/out/hasi11/FD146.nbt.gz
10	default	27317005366120	1	120	/home/ubuntu/icfpc2018/out/default/FD146.nbt.gz
