rank	ai_name	cost	valid	r	path
1	hasi17	476564	1	20	/home/ubuntu/icfpc2018/out/hasi17/FD008.nbt.gz
2	shioshiota14	1604804	1	20	/home/ubuntu/icfpc2018/out/shioshiota14/FD008.nbt.gz
3	hasi12	1604804	1	20	/home/ubuntu/icfpc2018/out/hasi12/FD008.nbt.gz
4	shioshiota13	1604804	1	20	/home/ubuntu/icfpc2018/out/shioshiota13/FD008.nbt.gz
5	hasi13	1604804	1	20	/home/ubuntu/icfpc2018/out/hasi13/FD008.nbt.gz
6	shioshiota12	1844964	1	20	/home/ubuntu/icfpc2018/out/shioshiota12/FD008.nbt.gz
7	hasi16	3381206	1	20	/home/ubuntu/icfpc2018/out/hasi16/FD008.nbt.gz
8	shioshiota16	4509446	1	20	/home/ubuntu/icfpc2018/out/shioshiota16/FD008.nbt.gz
9	hasi15	4509446	1	20	/home/ubuntu/icfpc2018/out/hasi15/FD008.nbt.gz
10	hasi11	931190808	1	20	/home/ubuntu/icfpc2018/out/hasi11/FD008.nbt.gz
11	hasi10	932270808	1	20	/home/ubuntu/icfpc2018/out/hasi10/FD008.nbt.gz
12	default	1185010668	1	20	/home/ubuntu/icfpc2018/out/default/FD008.nbt.gz
