rank	ai_name	cost	valid	r	path
1	shioshiota14	78901713	1	40	/home/ubuntu/icfpc2018/out/shioshiota14/FD042.nbt.gz
2	hasi12	78901713	1	40	/home/ubuntu/icfpc2018/out/hasi12/FD042.nbt.gz
3	shioshiota13	78901713	1	40	/home/ubuntu/icfpc2018/out/shioshiota13/FD042.nbt.gz
4	hasi13	78901713	1	40	/home/ubuntu/icfpc2018/out/hasi13/FD042.nbt.gz
5	shioshiota12	78901713	1	40	/home/ubuntu/icfpc2018/out/shioshiota12/FD042.nbt.gz
6	shioshiota16	105974475	1	40	/home/ubuntu/icfpc2018/out/shioshiota16/FD042.nbt.gz
7	hasi11	58973490532	1	40	/home/ubuntu/icfpc2018/out/hasi11/FD042.nbt.gz
8	hasi10	58989042532	1	40	/home/ubuntu/icfpc2018/out/hasi10/FD042.nbt.gz
9	default	114258767492	1	40	/home/ubuntu/icfpc2018/out/default/FD042.nbt.gz
